CustomerID,Gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,PaymentMethod,TechSupport,MonthlyCharges,TotalCharges,Churn
C00032,Male,1,No,No,28,DSL,Month-to-month,Credit card (automatic),Yes,71.52,1977.21,No
C00033,Male,0,Yes,No,52,Fiber optic,Two year,Electronic check,No,97.64,5055.54,No
C00034,Female,1,Yes,No,11,Fiber optic,One year,Bank transfer (automatic),No,89.5,995.08,No
C00035,Female,0,Yes,Yes,50,DSL,Two year,Bank transfer (automatic),No,68.65,3411.54,No
C00036,Female,0,No,Yes,16,No,Month-to-month,Mailed check,No,17.0,321.29,No
C00037,Male,1,No,No,47,Fiber optic,Two year,Credit card (automatic),Yes,86.37,4079.56,No
C00038,Male,0,No,No,1,DSL,Month-to-month,Credit card (automatic),No,49.52,0.0,Yes
C00039,Female,0,Yes,No,16,No,Month-to-month,Mailed check,No,33.07,459.65,No
C00040,Male,0,Yes,No,28,DSL,Month-to-month,Mailed check,No,72.97,2086.83,No
C00041,Male,1,Yes,No,26,DSL,Month-to-month,Mailed check,No,101.65,2625.7,Yes
C00042,Female,0,No,No,6,Fiber optic,Month-to-month,Bank transfer (automatic),No,102.74,633.09,No
C00043,Male,0,Yes,No,10,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,64.41,680.58,No
C00044,Female,0,No,No,25,DSL,Month-to-month,Electronic check,No,47.65,1154.97,No
C00045,Male,0,No,No,19,DSL,Month-to-month,Electronic check,No,77.87,1434.42,Yes
C00046,Female,0,No,No,23,No,One year,Credit card (automatic),No,31.74,781.2,No
C00047,Male,0,Yes,No,20,DSL,Month-to-month,Electronic check,No,61.3,1225.72,No
C00048,Female,0,No,Yes,12,DSL,One year,Bank transfer (automatic),No,59.36,792.12,No
C00049,Female,0,No,Yes,23,Fiber optic,One year,Credit card (automatic),No,73.46,1740.58,Yes
C00050,Male,1,No,No,34,No,Two year,Electronic check,No,15.0,547.28,No
C00051,Female,0,No,No,18,DSL,Month-to-month,Bank transfer (automatic),No,48.87,995.87,Yes
C00052,Female,0,No,No,57,Fiber optic,Two year,Electronic check,No,82.45,4691.43,No
C00053,Female,1,Yes,No,13,Fiber optic,One year,Credit card (automatic),Yes,87.6,1135.16,No
C00054,Female,0,Yes,No,18,Fiber optic,Two year,Electronic check,No,81.62,1521.13,No
C00055,Female,0,No,No,0,Fiber optic,Month-to-month,Mailed check,No,69.58,17.66,Yes
C00056,Female,0,Yes,Yes,30,No,One year,Mailed check,No,18.56,541.14,No
C00057,Male,0,No,No,11,DSL,One year,Bank transfer (automatic),No,61.5,663.83,Yes
C00058,Male,0,Yes,No,27,DSL,Month-to-month,Electronic check,Yes,62.94,1653.39,No
C00059,Male,0,Yes,No,34,No,One year,Mailed check,No,20.06,707.0,No
C00060,Male,0,Yes,No,9,Fiber optic,One year,Electronic check,No,80.6,780.03,No
C00061,Male,0,Yes,No,21,Fiber optic,One year,Electronic check,No,94.62,2003.5,No
C00062,Male,0,Yes,No,14,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,87.93,1290.09,No
C00063,Female,0,No,No,27,Fiber optic,One year,Electronic check,No,80.42,2188.54,No
C00064,Male,0,Yes,No,17,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,89.17,1521.16,No
C00065,Male,0,Yes,No,23,No,One year,Credit card (automatic),No,15.0,380.87,No
C00066,Female,0,No,Yes,7,Fiber optic,Month-to-month,Credit card (automatic),Yes,81.44,578.23,Yes
C00067,Male,0,No,No,9,DSL,Month-to-month,Bank transfer (automatic),No,58.12,540.08,No
C00068,Female,0,No,Yes,4,Fiber optic,Month-to-month,Electronic check,No,84.72,354.27,No
C00069,Male,0,No,No,12,Fiber optic,One year,Mailed check,No,74.52,848.61,Yes
C00070,Female,1,No,No,60,Fiber optic,Two year,Credit card (automatic),No,92.75,5598.63,No
C00071,Female,1,No,No,5,Fiber optic,Month-to-month,Credit card (automatic),No,69.91,312.72,No
C00072,Male,0,No,No,10,DSL,Month-to-month,Mailed check,Yes,39.64,397.38,Yes
C00073,Male,0,Yes,No,26,Fiber optic,Month-to-month,Credit card (automatic),No,82.8,2277.08,No
C00074,Female,0,No,No,15,Fiber optic,One year,Credit card (automatic),Yes,77.89,1242.71,No
C00075,Female,1,No,No,6,Fiber optic,Month-to-month,Credit card (automatic),Yes,69.18,399.17,Yes
C00076,Female,0,No,No,25,Fiber optic,Month-to-month,Bank transfer (automatic),No,90.04,2222.81,No
C00077,Female,0,Yes,Yes,12,DSL,One year,Credit card (automatic),Yes,59.51,715.34,No
C00078,Male,0,No,No,9,Fiber optic,Month-to-month,Credit card (automatic),Yes,96.4,898.39,Yes
C00079,Male,0,No,No,12,Fiber optic,Month-to-month,Electronic check,No,88.83,996.35,Yes
C00080,Male,1,No,No,2,Fiber optic,Month-to-month,Credit card (automatic),No,83.53,166.95,No
C00081,Female,0,Yes,No,33,Fiber optic,One year,Electronic check,No,71.2,2428.29,Yes
C00082,Female,0,Yes,No,36,Fiber optic,Two year,Mailed check,No,70.98,2560.03,No
C00083,Male,0,No,Yes,33,DSL,One year,Bank transfer (automatic),No,55.83,1813.74,No
C00084,Male,0,Yes,No,8,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,79.49,595.05,Yes
C00085,Male,0,No,Yes,4,DSL,Month-to-month,Credit card (automatic),No,69.39,236.0,No
C00086,Male,0,Yes,No,24,Fiber optic,Month-to-month,Mailed check,No,94.41,2349.75,No
C00087,Female,0,No,Yes,21,DSL,One year,Mailed check,No,41.06,893.54,Yes
C00088,Female,0,No,Yes,34,DSL,One year,Electronic check,No,45.74,1571.94,No
C00089,Female,0,Yes,No,54,Fiber optic,Two year,Mailed check,No,64.61,3551.34,No
C00090,Male,0,No,No,22,Fiber optic,Month-to-month,Bank transfer (automatic),No,76.65,1746.52,No
C00091,Male,0,No,Yes,28,Fiber optic,One year,Electronic check,No,98.46,2772.98,Yes
C00092,Female,0,No,Yes,30,Fiber optic,One year,Mailed check,No,89.31,2725.77,No
C00093,Female,0,Yes,No,17,Fiber optic,Month-to-month,Electronic check,No,87.05,1437.12,No
C00094,Female,0,No,No,31,Fiber optic,One year,Bank transfer (automatic),No,83.69,2609.48,No
C00095,Female,0,Yes,Yes,58,Fiber optic,Two year,Electronic check,Yes,76.7,4462.4,Yes
C00096,Female,0,No,No,16,Fiber optic,Two year,Bank transfer (automatic),No,95.33,1475.37,No
C00097,Female,0,Yes,No,13,Fiber optic,One year,Mailed check,Yes,91.46,1189.27,No
C00098,Male,0,Yes,Yes,7,Fiber optic,Month-to-month,Electronic check,No,96.57,795.45,No
C00099,Male,0,No,No,30,No,Two year,Credit card (automatic),Yes,15.0,491.94,No
C00100,Male,0,No,Yes,10,DSL,One year,Mailed check,No,56.4,578.98,No
C00101,Male,1,No,No,27,No,Month-to-month,Bank transfer (automatic),No,15.0,370.47,No
C00102,Female,0,No,Yes,3,DSL,Month-to-month,Bank transfer (automatic),Yes,49.84,256.48,No
C00103,Male,1,No,Yes,19,DSL,Month-to-month,Bank transfer (automatic),No,50.9,1037.59,Yes
C00104,Female,0,Yes,No,17,DSL,Month-to-month,Bank transfer (automatic),Yes,65.96,1174.11,Yes
C00105,Female,0,Yes,No,27,Fiber optic,One year,Bank transfer (automatic),No,89.95,2427.64,No
C00106,Male,0,Yes,No,11,DSL,Month-to-month,Bank transfer (automatic),No,74.14,723.09,No
C00107,Male,0,Yes,No,0,No,Month-to-month,Mailed check,No,15.0,87.07,No
C00108,Female,0,Yes,Yes,7,No,Month-to-month,Electronic check,No,21.66,240.76,Yes
C00109,Male,0,Yes,No,27,Fiber optic,Month-to-month,Credit card (automatic),No,122.34,3322.55,No
C00110,Male,0,Yes,Yes,25,Fiber optic,Month-to-month,Credit card (automatic),No,91.97,2253.49,No
C00111,Male,0,No,No,8,No,Month-to-month,Mailed check,Yes,22.49,217.96,No
C00112,Male,0,No,Yes,26,No,Month-to-month,Electronic check,Yes,34.43,904.55,No
C00113,Female,0,No,No,26,Fiber optic,One year,Electronic check,No,74.85,2045.37,No
C00114,Female,0,Yes,Yes,12,Fiber optic,Month-to-month,Bank transfer (automatic),No,72.06,883.67,Yes
C00115,Female,0,No,No,27,Fiber optic,One year,Electronic check,No,84.32,2290.56,No
C00116,Female,0,Yes,Yes,0,Fiber optic,Month-to-month,Bank transfer (automatic),No,88.5,0.0,No
C00117,Female,0,Yes,No,5,DSL,Month-to-month,Credit card (automatic),No,68.59,345.65,Yes
C00118,Male,0,No,Yes,0,Fiber optic,Month-to-month,Credit card (automatic),No,94.08,0.0,Yes
C00119,Female,0,No,Yes,13,DSL,Month-to-month,Electronic check,Yes,49.94,720.74,No
C00120,Female,0,No,No,4,Fiber optic,Month-to-month,Credit card (automatic),Yes,89.01,312.25,No
C00121,Female,0,No,No,12,Fiber optic,Month-to-month,Bank transfer (automatic),No,96.99,1177.69,No
C00122,Female,0,Yes,Yes,24,No,Month-to-month,Electronic check,Yes,35.0,876.53,Yes
C00123,Male,1,No,No,10,No,One year,Mailed check,No,33.0,269.45,No
C00124,Male,0,Yes,Yes,14,Fiber optic,Month-to-month,Bank transfer (automatic),No,91.38,1270.93,No
C00125,Male,0,No,Yes,41,Fiber optic,Two year,Credit card (automatic),No,90.35,3732.98,No
C00126,Male,0,No,Yes,8,DSL,One year,Electronic check,No,59.69,494.29,No
C00127,Female,0,No,No,33,Fiber optic,One year,Electronic check,No,106.22,3524.18,No
C00128,Female,0,No,No,29,DSL,Month-to-month,Mailed check,No,70.12,1983.97,Yes
C00129,Male,0,Yes,No,9,DSL,One year,Credit card (automatic),No,56.43,465.67,Yes
C00130,Female,0,Yes,No,2,Fiber optic,Month-to-month,Credit card (automatic),No,64.74,180.64,Yes
C00131,Male,1,No,Yes,19,DSL,Month-to-month,Electronic check,No,86.02,1703.21,No
C00132,Male,0,No,Yes,11,DSL,Month-to-month,Electronic check,Yes,50.36,631.66,No
C00133,Male,0,No,Yes,71,No,Two year,Credit card (automatic),No,15.0,1082.38,No
C00134,Male,0,No,No,25,DSL,Month-to-month,Bank transfer (automatic),No,71.79,1844.74,No
C00135,Female,0,Yes,No,42,DSL,Two year,Credit card (automatic),Yes,60.01,2462.56,No
C00136,Male,0,No,No,13,DSL,Month-to-month,Credit card (automatic),Yes,66.67,822.3,Yes
C00137,Female,0,No,No,17,DSL,Two year,Electronic check,Yes,44.95,765.75,No
C00138,Female,0,No,No,30,DSL,Two year,Bank transfer (automatic),Yes,69.89,2111.18,No
C00139,Male,0,No,No,16,Fiber optic,Two year,Electronic check,No,102.91,1643.7,No
C00140,Female,0,Yes,No,22,DSL,Month-to-month,Credit card (automatic),No,59.73,1318.07,Yes
C00141,Female,0,No,No,60,No,Two year,Bank transfer (automatic),No,17.93,1033.61,No
C00142,Male,0,Yes,No,62,DSL,Two year,Credit card (automatic),No,49.62,3066.72,No
C00143,Female,1,No,No,26,Fiber optic,Month-to-month,Credit card (automatic),No,94.31,2404.01,No
C00144,Male,0,No,No,21,Fiber optic,Month-to-month,Electronic check,No,98.6,2147.75,No
C00145,Male,0,No,Yes,31,Fiber optic,One year,Electronic check,No,80.59,2464.84,No
C00146,Male,0,No,No,17,Fiber optic,Month-to-month,Mailed check,No,78.62,1390.25,No
C00147,Female,0,No,No,29,No,One year,Credit card (automatic),Yes,25.52,757.11,No
C00148,Female,0,No,No,22,DSL,Month-to-month,Credit card (automatic),No,56.88,1297.35,No
C00149,Male,0,No,No,11,Fiber optic,Month-to-month,Credit card (automatic),No,68.29,773.7,No
C00150,Male,0,Yes,No,17,No,Month-to-month,Bank transfer (automatic),Yes,15.0,250.69,No
C00151,Female,1,Yes,No,4,DSL,Month-to-month,Electronic check,Yes,56.59,225.01,No
C00152,Male,0,Yes,No,12,DSL,Month-to-month,Electronic check,Yes,50.83,677.99,No
C00153,Male,0,Yes,Yes,9,DSL,One year,Electronic check,No,67.79,592.12,No
C00154,Female,0,No,Yes,17,Fiber optic,Month-to-month,Bank transfer (automatic),No,73.74,1259.08,No
C00155,Female,0,No,Yes,25,DSL,One year,Credit card (automatic),Yes,29.8,849.03,No
C00156,Male,0,No,No,14,DSL,One year,Electronic check,Yes,56.35,793.88,No
C00157,Female,0,No,No,25,Fiber optic,Month-to-month,Credit card (automatic),Yes,93.18,2350.22,No
C00158,Female,0,No,No,1,Fiber optic,Month-to-month,Mailed check,No,106.52,40.21,No
C00159,Male,1,Yes,Yes,25,DSL,Month-to-month,Electronic check,No,84.02,2107.92,Yes
C00160,Female,0,No,No,9,DSL,Month-to-month,Mailed check,Yes,53.61,496.81,No
C00161,Male,0,No,No,12,Fiber optic,Month-to-month,Mailed check,No,73.48,887.45,No
C00162,Female,0,No,No,5,No,Month-to-month,Credit card (automatic),Yes,25.08,167.88,Yes
C00163,Female,0,No,Yes,31,Fiber optic,Two year,Mailed check,No,90.02,2803.78,Yes
C00164,Female,0,Yes,No,7,Fiber optic,Month-to-month,Electronic check,Yes,77.8,527.67,No
C00165,Male,1,No,Yes,18,Fiber optic,One year,Credit card (automatic),No,78.66,1411.96,No
C00166,Female,0,Yes,No,15,DSL,Two year,Credit card (automatic),No,74.05,1152.67,No
C00167,Male,0,No,No,36,Fiber optic,Two year,Bank transfer (automatic),No,71.59,2531.81,No
C00168,Male,0,No,Yes,42,No,Two year,Electronic check,No,24.89,1052.38,Yes
C00169,Male,0,No,No,31,Fiber optic,One year,Electronic check,No,97.24,3039.33,No
C00170,Female,0,No,No,18,No,Month-to-month,Electronic check,No,37.59,763.47,No
C00171,Female,0,Yes,No,18,No,Two year,Electronic check,No,37.07,764.38,No
C00172,Male,0,Yes,No,58,DSL,Two year,Credit card (automatic),Yes,86.72,5073.92,No
C00173,Female,0,Yes,No,4,DSL,Month-to-month,Electronic check,Yes,66.16,280.15,No
C00174,Male,0,No,Yes,29,DSL,Month-to-month,Mailed check,Yes,58.38,1773.38,Yes
C00175,Female,0,No,Yes,26,Fiber optic,Month-to-month,Bank transfer (automatic),No,72.67,1958.13,No
C00176,Male,0,Yes,No,16,DSL,Month-to-month,Credit card (automatic),Yes,52.56,880.42,Yes
C00177,Female,0,No,Yes,18,No,Month-to-month,Electronic check,No,15.0,330.78,No
C00178,Male,0,Yes,Yes,30,DSL,One year,Mailed check,No,63.05,1892.45,No
C00179,Female,0,No,No,34,DSL,One year,Electronic check,No,63.88,2121.8,No
C00180,Male,0,No,No,24,DSL,Month-to-month,Electronic check,No,56.3,1412.91,No
C00181,Male,0,Yes,No,20,No,Month-to-month,Electronic check,No,15.0,307.16,Yes
C00182,Male,0,No,No,35,Fiber optic,One year,Bank transfer (automatic),No,85.24,3005.93,No
C00183,Female,0,Yes,Yes,4,No,Month-to-month,Electronic check,No,22.73,117.94,Yes
C00184,Female,0,No,Yes,10,No,Month-to-month,Mailed check,Yes,16.76,234.68,No
C00185,Male,0,Yes,No,9,Fiber optic,One year,Electronic check,Yes,85.21,753.74,No
C00186,Female,0,No,No,13,DSL,Month-to-month,Credit card (automatic),No,70.82,867.83,No
C00187,Female,0,Yes,Yes,3,DSL,Month-to-month,Bank transfer (automatic),No,55.11,197.69,Yes
C00188,Female,0,No,No,3,DSL,Month-to-month,Credit card (automatic),No,53.04,238.7,Yes
C00189,Female,0,No,No,7,Fiber optic,One year,Electronic check,No,80.34,512.89,No
C00190,Male,0,No,No,12,DSL,One year,Credit card (automatic),Yes,55.36,693.15,No
C00191,Male,0,Yes,No,18,DSL,Month-to-month,Mailed check,Yes,65.47,1212.62,Yes
C00192,Female,0,Yes,No,0,Fiber optic,Month-to-month,Electronic check,No,89.9,110.04,No
C00193,Female,0,No,No,17,Fiber optic,One year,Bank transfer (automatic),No,90.22,1580.25,No
C00194,Female,1,Yes,No,38,Fiber optic,Two year,Bank transfer (automatic),No,84.1,3161.03,No
C00195,Male,0,Yes,Yes,31,Fiber optic,One year,Credit card (automatic),No,87.12,2741.95,No
C00196,Male,1,Yes,No,24,No,One year,Bank transfer (automatic),Yes,15.0,386.56,No
C00197,Female,0,No,Yes,24,Fiber optic,Month-to-month,Electronic check,Yes,73.15,1792.73,Yes
C00198,Female,0,Yes,Yes,17,DSL,One year,Electronic check,No,59.61,949.63,No
C00199,Female,0,Yes,Yes,52,Fiber optic,Two year,Mailed check,No,86.13,4440.05,No
C00200,Female,0,No,No,31,No,One year,Electronic check,Yes,35.86,1079.49,No
C00201,Female,0,Yes,Yes,50,DSL,Two year,Bank transfer (automatic),Yes,54.3,2826.78,No
C00202,Male,0,No,No,0,Fiber optic,Month-to-month,Mailed check,No,62.6,22.41,Yes
C00203,Male,0,No,No,49,Fiber optic,Two year,Credit card (automatic),Yes,91.06,4435.43,No
C00204,Female,0,No,No,15,DSL,One year,Bank transfer (automatic),Yes,37.57,596.23,No
C00205,Female,0,No,No,12,No,Two year,Mailed check,No,20.15,272.63,No
C00206,Male,0,Yes,Yes,17,DSL,Month-to-month,Electronic check,Yes,39.62,715.41,Yes
C00207,Male,0,No,No,8,Fiber optic,One year,Electronic check,No,108.02,829.26,No
C00208,Female,0,Yes,No,16,Fiber optic,One year,Credit card (automatic),Yes,70.38,1158.28,No
C00209,Male,0,No,No,26,Fiber optic,Month-to-month,Credit card (automatic),No,85.44,2220.83,Yes
C00210,Male,0,Yes,No,19,DSL,One year,Mailed check,No,57.83,1082.33,No
C00211,Female,1,No,No,11,DSL,One year,Credit card (automatic),No,39.65,519.5,No
C00212,Female,0,No,Yes,10,DSL,Month-to-month,Bank transfer (automatic),Yes,77.59,863.53,Yes
C00213,Female,0,No,No,6,DSL,Month-to-month,Credit card (automatic),Yes,67.85,440.58,Yes
C00214,Male,0,No,No,13,DSL,One year,Electronic check,No,54.14,697.34,No
C00215,Female,1,Yes,No,24,No,Month-to-month,Mailed check,No,15.0,385.54,Yes
C00216,Male,0,Yes,Yes,22,Fiber optic,Month-to-month,Mailed check,Yes,72.07,1431.1,Yes
C00217,Male,0,No,No,21,Fiber optic,Month-to-month,Mailed check,Yes,63.85,1435.79,No
C00218,Female,0,No,No,4,Fiber optic,Month-to-month,Electronic check,No,81.49,425.19,Yes
C00219,Female,0,No,Yes,25,Fiber optic,Month-to-month,Mailed check,Yes,87.9,2294.77,No
C00220,Female,0,Yes,No,17,No,Month-to-month,Bank transfer (automatic),No,39.79,653.98,No
C00221,Female,0,Yes,Yes,20,DSL,One year,Electronic check,No,69.81,1415.32,Yes
C00222,Female,0,No,Yes,29,No,One year,Bank transfer (automatic),Yes,35.17,1103.76,No
C00223,Male,1,Yes,No,26,Fiber optic,One year,Bank transfer (automatic),No,89.84,2283.97,No
C00224,Male,0,Yes,No,25,No,Month-to-month,Credit card (automatic),No,28.77,750.46,No
C00225,Male,0,Yes,No,17,Fiber optic,Month-to-month,Mailed check,No,82.61,1401.15,Yes
C00226,Male,0,No,No,2,Fiber optic,Month-to-month,Electronic check,No,93.61,100.05,No
C00227,Female,0,No,No,15,DSL,One year,Mailed check,Yes,52.56,835.07,No
C00228,Male,0,No,Yes,31,DSL,One year,Electronic check,No,59.07,1861.12,No
C00229,Female,0,No,No,39,Fiber optic,Two year,Bank transfer (automatic),Yes,86.8,3409.81,No
C00230,Female,0,Yes,No,14,No,Month-to-month,Electronic check,No,33.81,437.17,No
C00231,Female,0,No,Yes,28,Fiber optic,One year,Mailed check,No,78.75,2283.04,Yes
C00232,Female,0,Yes,Yes,25,DSL,Month-to-month,Electronic check,Yes,80.72,2057.74,Yes
C00233,Female,0,No,No,13,No,One year,Electronic check,Yes,56.09,771.38,No
C00234,Female,0,No,No,20,Fiber optic,Month-to-month,Credit card (automatic),No,66.17,1391.05,Yes
C00235,Male,0,No,Yes,25,DSL,Month-to-month,Credit card (automatic),No,65.8,1694.4,No
C00236,Female,0,No,Yes,7,DSL,Month-to-month,Bank transfer (automatic),No,75.17,514.22,Yes
C00237,Male,0,No,Yes,34,DSL,One year,Electronic check,Yes,53.29,1857.33,Yes
C00238,Male,0,No,No,13,No,Month-to-month,Credit card (automatic),No,32.37,445.09,No
C00239,Female,0,No,No,9,No,Month-to-month,Credit card (automatic),No,17.7,182.75,No
C00240,Male,0,No,Yes,12,DSL,Month-to-month,Credit card (automatic),Yes,52.68,682.23,No
C00241,Female,0,No,Yes,21,DSL,Two year,Mailed check,No,58.52,1198.21,No
C00242,Female,0,No,No,5,Fiber optic,Month-to-month,Electronic check,No,72.76,257.04,Yes
C00243,Female,0,No,No,29,No,Two year,Electronic check,No,22.26,648.59,Yes
C00244,Male,0,Yes,Yes,59,Fiber optic,Two year,Credit card (automatic),No,72.86,4236.84,No
C00245,Male,0,No,No,39,Fiber optic,Two year,Credit card (automatic),No,85.01,3315.94,Yes
C00246,Female,1,No,Yes,39,DSL,Two year,Mailed check,No,60.75,2304.88,No
C00247,Male,0,No,Yes,61,Fiber optic,Two year,Electronic check,No,87.55,5364.46,No
C00248,Female,0,No,No,23,DSL,Month-to-month,Bank transfer (automatic),No,65.37,1518.04,No
C00249,Female,1,No,No,19,No,Month-to-month,Credit card (automatic),No,28.17,551.21,Yes
C00250,Female,0,Yes,Yes,29,Fiber optic,One year,Bank transfer (automatic),Yes,94.95,2801.8,Yes
C00251,Male,0,No,No,24,No,Month-to-month,Bank transfer (automatic),No,17.85,504.62,No
C00252,Male,0,Yes,No,5,Fiber optic,Month-to-month,Electronic check,No,96.24,471.62,No
C00253,Female,0,No,No,14,No,One year,Electronic check,Yes,29.93,449.92,No
C00254,Male,0,Yes,No,21,DSL,One year,Bank transfer (automatic),No,58.63,1262.57,No
C00255,Male,1,Yes,No,43,Fiber optic,Two year,Credit card (automatic),No,78.51,3322.57,No
C00256,Female,0,No,No,11,Fiber optic,One year,Electronic check,No,65.82,788.74,Yes
C00257,Female,0,Yes,Yes,16,DSL,One year,Electronic check,No,46.14,712.46,No
C00258,Female,0,No,No,29,No,Month-to-month,Bank transfer (automatic),Yes,44.47,1271.82,No
C00259,Female,0,Yes,No,2,Fiber optic,Month-to-month,Mailed check,No,71.18,146.37,No
C00260,Male,0,Yes,No,19,Fiber optic,Two year,Bank transfer (automatic),Yes,76.66,1423.92,No
C00261,Female,0,Yes,Yes,0,No,Month-to-month,Bank transfer (automatic),No,21.88,0.0,No
C00262,Female,0,No,No,21,No,Month-to-month,Bank transfer (automatic),No,25.04,569.61,No
C00263,Male,0,Yes,No,20,Fiber optic,One year,Credit card (automatic),Yes,80.1,1562.37,Yes
C00264,Female,1,Yes,No,14,No,Month-to-month,Electronic check,No,32.48,520.7,Yes
C00265,Female,0,Yes,Yes,18,DSL,Month-to-month,Mailed check,No,62.73,1101.68,No
C00266,Female,0,Yes,No,25,DSL,Month-to-month,Electronic check,No,66.5,1721.85,Yes
C00267,Female,0,Yes,No,9,Fiber optic,Month-to-month,Credit card (automatic),Yes,101.38,953.58,No
C00268,Female,0,Yes,Yes,18,Fiber optic,Month-to-month,Credit card (automatic),No,87.6,1544.05,No
C00269,Male,0,Yes,No,20,Fiber optic,Two year,Electronic check,No,82.15,1614.79,Yes
C00270,Male,0,No,No,6,DSL,Month-to-month,Electronic check,No,33.51,249.37,No
C00271,Female,0,No,Yes,28,Fiber optic,Month-to-month,Electronic check,Yes,112.38,3218.71,No
C00272,Female,0,Yes,Yes,13,No,Month-to-month,Bank transfer (automatic),No,45.4,611.89,No
C00273,Female,1,Yes,No,1,Fiber optic,Month-to-month,Electronic check,No,100.2,176.74,Yes
C00274,Female,0,Yes,No,33,No,Two year,Bank transfer (automatic),Yes,27.27,979.24,No
C00275,Female,1,Yes,No,27,Fiber optic,Month-to-month,Bank transfer (automatic),No,83.6,2233.47,No
C00276,Female,0,Yes,No,56,DSL,Two year,Bank transfer (automatic),Yes,59.73,3430.09,No
C00277,Female,0,No,Yes,19,DSL,Month-to-month,Credit card (automatic),No,64.26,1274.2,Yes
C00278,Female,0,No,No,31,DSL,One year,Mailed check,No,69.86,2143.8,No
C00279,Female,0,No,No,26,No,Month-to-month,Credit card (automatic),No,15.9,403.89,No
C00280,Female,0,No,Yes,22,DSL,Month-to-month,Electronic check,No,55.54,1298.33,No
C00281,Female,0,Yes,Yes,3,DSL,Month-to-month,Electronic check,No,56.39,264.36,No
C00282,Male,0,Yes,No,12,No,One year,Mailed check,Yes,31.45,388.51,No
C00283,Male,1,No,No,21,Fiber optic,Month-to-month,Bank transfer (automatic),No,96.85,2171.59,No
C00284,Male,0,Yes,No,7,DSL,Month-to-month,Electronic check,No,75.42,625.45,No
C00285,Female,0,No,Yes,28,DSL,One year,Bank transfer (automatic),No,63.06,1820.65,No
C00286,Male,0,No,No,15,No,Month-to-month,Electronic check,No,46.77,751.14,No
C00287,Male,0,No,No,24,No,Month-to-month,Credit card (automatic),No,26.14,677.84,No
